0.0 38600
0.0 11900
0.0 8220
3.166667 7250
3.166667 2720
3.166667 29900
6.0 6990
6.0 15400
6.0 9040
18.58333 17900
18.58333 12100
18.58333 12200
28.5 442000
28.5 643000
28.5 1630000
42.86666 230000000
42.86666 79700000
42.86666 90400000
53.3 447000000
53.3 677000000
53.3 230000000
66.58334 6820000000
66.58334 18800000000
66.58334 3570000000
77.83334 5880000000
77.83334 13900000000
77.83334 10200000000
77.83334 1980000000
77.83334 5090000000
77.83334 3920000000
91.66666 7560000000
91.66666 12500000000
91.66666 4020000000
99.08334 10100000000
99.08334 14600000000
99.08334 4720000000
99.08334 21000000000
99.08334 52700000000
99.08334 16300000000
147.8333 10200000000
147.8333 20900000000
147.8333 10000000000
